zip_code,case_count,report_date
85711,433,2020-07-07
85712,365,2020-07-07
85713,712,2020-07-07
85714,382,2020-07-07
85715,111,2020-07-07
85716,256,2020-07-07
85718,145,2020-07-07
85719,335,2020-07-07
85730,294,2020-07-07
85735,112,2020-07-07
85736,30,2020-07-07
85737,71,2020-07-07
85739,21,2020-07-07
85741,284,2020-07-07
85742,148,2020-07-07
85743,184,2020-07-07
85745,403,2020-07-07
85746,776,2020-07-07
85747,153,2020-07-07
85748,110,2020-07-07
85749,71,2020-07-07
85750,104,2020-07-07
85755,63,2020-07-07
85756,594,2020-07-07
85757,402,2020-07-07
85901,177,2020-07-07
85911,0,2020-07-07
85922,0,2020-07-07
85923,0,2020-07-07
85927,0,2020-07-07
85928,0,2020-07-07
85929,58,2020-07-07
85931,0,2020-07-07
85932,0,2020-07-07
85935,51,2020-07-07
85937,38,2020-07-07
85938,12,2020-07-07
85939,14,2020-07-07
86001,374,2020-07-07
86004,403,2020-07-07
86005,127,2020-07-07
86016,0,2020-07-07
86018,0,2020-07-07
86020,0,2020-07-07
86023,19,2020-07-07
86025,83,2020-07-07
86029,19,2020-07-07
86032,15,2020-07-07
86033,0,2020-07-07
86035,0,2020-07-07
86038,0,2020-07-07
86040,283,2020-07-07
86042,0,2020-07-07
86043,0,2020-07-07
86044,0,2020-07-07
86045,0,2020-07-07
86046,17,2020-07-07
86047,342,2020-07-07
86052,0,2020-07-07
86054,0,2020-07-07
86301,133,2020-07-07
86303,51,2020-07-07
86305,58,2020-07-07
86314,178,2020-07-07
86315,26,2020-07-07
86322,64,2020-07-07
86323,43,2020-07-07
86324,24,2020-07-07
86325,14,2020-07-07
86326,201,2020-07-07
86327,40,2020-07-07
86333,27,2020-07-07
86334,15,2020-07-07
86335,13,2020-07-07
86336,43,2020-07-07
86337,0,2020-07-07
86338,0,2020-07-07
86343,0,2020-07-07
86351,19,2020-07-07
86401,114,2020-07-07
86403,93,2020-07-07
86404,85,2020-07-07
86406,175,2020-07-07
86409,92,2020-07-07
86411,0,2020-07-07
86413,33,2020-07-07
86426,119,2020-07-07
86429,39,2020-07-07
86432,23,2020-07-07
86433,0,2020-07-07
86434,0,2020-07-07
86435,0,2020-07-07
86440,123,2020-07-07
86442,389,2020-07-07
86443,0,2020-07-07
86444,0,2020-07-07
86445,0,2020-07-07
86502,65,2020-07-07
86503,0,2020-07-07
86505,28,2020-07-07
86507,0,2020-07-07
86514,0,2020-07-07
86515,0,2020-07-07
00041,0,2020-07-07
00042,0,2020-07-07
00045,0,2020-07-07
00053,0,2020-07-07
00087,0,2020-07-07
00097,0,2020-07-07
00098,0,2020-07-07
32003,135,2020-07-07
32008,0,2020-07-07
32008,20,2020-07-07
32009,9,2020-07-07
32011,53,2020-07-07
32013,0,2020-07-07
32024,79,2020-07-07
32025,152,2020-07-07
32033,12,2020-07-07
32034,171,2020-07-07
32038,25,2020-07-07
32040,13,2020-07-07
32043,188,2020-07-07
32043,0,2020-07-07
32044,0,2020-07-07
32046,30,2020-07-07
32052,303,2020-07-07
32053,77,2020-07-07
32054,37,2020-07-07
32055,112,2020-07-07
32058,17,2020-07-07
32058,0,2020-07-07
32059,14,2020-07-07
32060,306,2020-07-07
32061,0,2020-07-07
32062,16,2020-07-07
32063,78,2020-07-07
32064,251,2020-07-07
32065,203,2020-07-07
32066,40,2020-07-07
32068,225,2020-07-07
32071,30,2020-07-07
32073,280,2020-07-07
32080,0,2020-07-07
32080,113,2020-07-07
32081,0,2020-07-07
32081,116,2020-07-07
32082,247,2020-07-07
32083,29,2020-07-07
32084,161,2020-07-07
32086,135,2020-07-07
32087,19,2020-07-07
32091,77,2020-07-07
32091,0,2020-07-07
32092,188,2020-07-07
32094,0,2020-07-07
32094,7,2020-07-07
32095,66,2020-07-07
32096,0,2020-07-07
32096,9,2020-07-07
32097,67,2020-07-07
32102,7,2020-07-07
32110,39,2020-07-07
32112,109,2020-07-07
32113,21,2020-07-07
32114,199,2020-07-07
32117,250,2020-07-07
32118,49,2020-07-07
32119,80,2020-07-07
32124,166,2020-07-07
32127,72,2020-07-07
32128,68,2020-07-07
32129,63,2020-07-07
32130,47,2020-07-07
32131,26,2020-07-07
32131,0,2020-07-07
32132,14,2020-07-07
